"filename", "language", "TypeScript React", "TypeScript", "GraphQL", "CSS", "JSON", "JavaScript", "YAML", "Markdown", "Shell Script", "HTML", "comment", "blank", "total"
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Heading/heading.stories.tsx", "TypeScript React", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 108
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Heading/heading.styled.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Heading/index.tsx", "TypeScript React", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 102
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/IconButton/IconButton.stories.tsx", "TypeScript React", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/IconButton/index.tsx", "TypeScript React", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 81
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Input/Input.stories.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Input/index.tsx", "TypeScript React", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 86
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Label/index.tsx", "TypeScript React", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 101
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Label/label.stories.tsx", "TypeScript React", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 70
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Label/label.styled.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/LabelSearchInput/index.tsx", "TypeScript React", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 129
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/LabelSearchInput/label.styled.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/LabelSearchInput/labelSearchInput.stories.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 49
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/LabelSelector/index.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/ListItem/ListItem.stories.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/ListItem/index.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/RoundButton/RoundButton.stories.tsx", "TypeScript React", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 107
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/RoundButton/RoundButton.styled.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/RoundButton/index.tsx", "TypeScript React", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 101
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Spinner/Spinner.stories.tsx", "TypeScript React", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Spinner/index.tsx", "TypeScript React", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 54
"/Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Text/index.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
